site,year,block,trial_id,formulation,dose_g_ai_ha,temperature_c,relative_humidity_pct,rainfall_mm_7d,spray_coverage_pct,n_insects,mortality_count,mortality_rate,true_mortality_probability
S01,2023,1,S01-2023-B1,A,0.0,25.7923323475522,72.08285573547585,29.21815382613852,44.63919292863295,60,1,0.016666666666666666,0.03328190504339835
S01,2023,1,S01-2023-B1,A,2.5,22.0516932790514,66.1258197221634,26.69045464293138,62.53965709761444,60,11,0.18333333333333332,0.13150313783069886
S01,2023,1,S01-2023-B1,A,5.0,25.17256414585161,58.553846591878745,32.06806957722424,54.85463777094092,60,21,0.35,0.2502004247267896
S01,2023,1,S01-2023-B1,A,10.0,24.47070930561635,67.06237152525522,32.00440226413826,46.419362165436056,60,28,0.4666666666666667,0.4547669062928135
S01,2023,1,S01-2023-B1,A,20.0,25.2309820362302,71.48189639997521,24.805169081668552,57.97192334719588,60,46,0.7666666666666667,0.7552193749658519
S01,2023,1,S01-2023-B1,A,40.0,25.94823469645077,65.29890953019871,23.13290326303569,47.37664143167299,60,53,0.8833333333333333,0.8767017888041994
S01,2023,1,S01-2023-B1,B,0.0,24.523350251351673,55.08782754216729,24.938632800500265,42.61751321893286,60,0,0.0,0.03375072086108775
S01,2023,1,S01-2023-B1,B,2.5,24.974430639722986,64.39516569059582,22.81858605198149,57.728405343105194,60,6,0.1,0.17774329733219857
S01,2023,1,S01-2023-B1,B,5.0,23.123848005822268,65.92594960563471,29.05350507739086,64.58028219573183,60,24,0.4,0.3714794101931168
S01,2023,1,S01-2023-B1,B,10.0,25.635703434665523,70.9882188434132,30.262911237921706,59.41580992575307,60,37,0.6166666666666667,0.613518723972652
S01,2023,1,S01-2023-B1,B,20.0,25.4398929048707,62.99835957824765,28.714207780471426,42.24645644640856,60,46,0.7666666666666667,0.7796424957912742
S01,2023,1,S01-2023-B1,B,40.0,24.648355007126526,59.99845125161649,23.436523299870135,56.377584814683416,60,57,0.95,0.9199949140974615
S01,2023,2,S01-2023-B2,A,0.0,23.57736188496363,67.44809161400252,31.99049904983473,62.68807078968133,60,4,0.06666666666666667,0.04177182343634736
S01,2023,2,S01-2023-B2,A,2.5,24.926168202357406,67.59209044348046,22.538830732833105,58.220742256508956,60,5,0.08333333333333333,0.1338236732587753
S01,2023,2,S01-2023-B2,A,5.0,23.60867504873192,67.92894895597755,21.80614516224498,57.30595605442247,60,20,0.3333333333333333,0.27534223953860054
S01,2023,2,S01-2023-B2,A,10.0,26.65892845517228,68.3516034650018,27.09104663881404,54.800344293107415,60,36,0.6,0.4952652437784707
S01,2023,2,S01-2023-B2,A,20.0,23.823868567819826,60.03980394335453,28.05248713691952,46.634676384669774,60,42,0.7,0.7145251620861363
S01,2023,2,S01-2023-B2,A,40.0,20.63020105775749,62.869019380286645,25.449926639530208,47.24664802279577,60,55,0.9166666666666666,0.8635932784449372
