Year,TRT,Block,AUDPC,Timing,Treatment
2017,KKKK,I,156.53,.,Kocide
2017,KKKK,II,182,.,Kocide
2017,KKKK,III,72.39,.,Kocide
2017,KKKK,IV,169.67,.,Kocide
2017,KKKK,V,198.71,.,Kocide
2017,NT,I,225.64,.,NT
2017,NT,II,246.22,.,NT
2017,NT,III,100.78,.,NT
2017,NT,IV,444.01,.,NT
2017,NT,V,200.28,.,NT
2017,CCKK,I,123.99,Early,Curzate
2017,CCKK,II,115.43,Early,Curzate
2017,CCKK,III,235.89,Early,Curzate
2017,CCKK,IV,64.25,Early,Curzate
2017,CCKK,V,141.72,Early,Curzate
2017,FFKK,I,90.91,Early,FungiPhi
2017,FFKK,II,259.83,Early,FungiPhi
2017,FFKK,III,252.5,Early,FungiPhi
2017,FFKK,IV,108.89,Early,FungiPhi
2017,FFKK,V,97.6,Early,FungiPhi
2017,KKCC,I,229.14,Late,Curzate
2017,KKCC,II,.,Late,Curzate
2017,KKCC,III,358.56,Late,Curzate
2017,KKCC,IV,142.93,Late,Curzate
2017,KKCC,V,.,Late,Curzate
2017,KKFF,I,.,Late,FungiPhi
2017,KKFF,II,145.32,Late,FungiPhi
2017,KKFF,III,307.49,Late,FungiPhi
2017,KKFF,IV,146.14,Late,FungiPhi
2017,KKFF,V,215.04,Late,FungiPhi
2017,KKReRe,I,124.67,Late,Revus
2017,KKReRe,II,147.26,Late,Revus
2017,KKReRe,III,125.87,Late,Revus
2017,KKReRe,IV,204.04,Late,Revus
2017,KKReRe,V,265.24,Late,Revus
2017,KKRR,I,273.22,Late,Ranman
2017,KKRR,II,221,Late,Ranman
2017,KKRR,III,255.65,Late,Ranman
2017,KKRR,IV,149.77,Late,Ranman
2017,KKRR,V,217.86,Late,Ranman
2017,ReReKK,I,242.24,Early,Revus
2017,ReReKK,II,189.26,Early,Revus
2017,ReReKK,III,142.55,Early,Revus
2017,ReReKK,IV,170.33,Early,Revus
2017,ReReKK,V,129.94,Early,Revus
2017,RRKK,I,210.15,Early,Ranman
2017,RRKK,II,267.17,Early,Ranman
2017,RRKK,III,257.54,Early,Ranman
2017,RRKK,IV,151.36,Early,Ranman
2017,RRKK,V,249.54,Early,Ranman
2018,KKKK,I,169.78,.,Kocide
2018,KKKK,II,133,.,Kocide
2018,KKKK,III,198.78,.,Kocide
2018,KKKK,IV,108.78,.,Kocide
2018,KKKK,V,70,.,Kocide
2018,NT,I,146.67,.,NT
2018,NT,II,172.44,.,NT
2018,NT,III,193.75,.,NT
2018,NT,IV,134.94,.,NT
2018,NT,V,292.44,.,NT
2018,CCKK,I,59.31,Early,Curzate
2018,CCKK,II,101.72,Early,Curzate
2018,CCKK,III,70.56,Early,Curzate
2018,CCKK,IV,47.81,Early,Curzate
2018,CCKK,V,16.88,Early,Curzate
2018,FFKK,I,114.44,Early,FungiPhi
2018,FFKK,II,104.17,Early,FungiPhi
2018,FFKK,III,130.69,Early,FungiPhi
2018,FFKK,IV,169.25,Early,FungiPhi
2018,FFKK,V,86.44,Early,FungiPhi
2018,KKCC,I,44,Late,Curzate
2018,KKCC,II,148.67,Late,Curzate
2018,KKCC,III,74.11,Late,Curzate
2018,KKCC,IV,104.56,Late,Curzate
2018,KKCC,V,70.11,Late,Curzate
2018,KKFF,I,173,Late,FungiPhi
2018,KKFF,II,250.33,Late,FungiPhi
2018,KKFF,III,112.06,Late,FungiPhi
2018,KKFF,IV,263.44,Late,FungiPhi
2018,KKFF,V,172.88,Late,FungiPhi
2018,KKPP,I,420.89,Late,Presidio
2018,KKPP,II,329.44,Late,Presidio
2018,KKPP,III,147.56,Late,Presidio
2018,KKPP,IV,59.28,Late,Presidio
2018,KKPP,V,122.61,Late,Presidio
2018,KKReRe,I,113.33,Late,Revus
2018,KKReRe,II,127.94,Late,Revus
2018,KKReRe,III,59.56,Late,Revus
2018,KKReRe,IV,77.06,Late,Revus
2018,KKReRe,V,74.11,Late,Revus
2018,KKRR,I,170,Late,Ranman
2018,KKRR,II,175.83,Late,Ranman
2018,KKRR,III,55.72,Late,Ranman
2018,KKRR,IV,90.44,Late,Ranman
2018,KKRR,V,80.56,Late,Ranman
2018,PPKK,I,43.13,Early,Presidio
2018,PPKK,II,126.11,Early,Presidio
2018,PPKK,III,123.22,Early,Presidio
2018,PPKK,IV,71.63,Early,Presidio
2018,PPKK,V,55.94,Early,Presidio
2018,ReReKK,I,85.94,Early,Revus
2018,ReReKK,II,95.11,Early,Revus
2018,ReReKK,III,103.56,Early,Revus
2018,ReReKK,IV,27.17,Early,Revus
2018,ReReKK,V,81.22,Early,Revus
2018,RRKK,I,97.83,Early,Ranman
2018,RRKK,II,270.78,Early,Ranman
2018,RRKK,III,86.89,Early,Ranman
2018,RRKK,IV,82.89,Early,Ranman
2018,RRKK,V,163.44,Early,Ranman
2019,NT,I,41.33,.,NT
2019,NT,II,18.33,.,NT
2019,NT,III,31.83,.,NT
2019,NT,IV,81.83,.,NT
2019,NT,V,60.5,.,NT
2019,KKKK,I,14,.,Kocide
2019,KKKK,II,44.67,.,Kocide
2019,KKKK,III,28.33,.,Kocide
2019,KKKK,IV,98.17,.,Kocide
2019,KKKK,V,195.5,.,Kocide
2019,RRKK,I,12.83,Early,Ranman
2019,RRKK,II,75.67,Early,Ranman
2019,RRKK,III,109.5,Early,Ranman
2019,RRKK,IV,59.67,Early,Ranman
