rollout,naive_id_interval_coverage,stress_global_interval_coverage,distance_scaled_interval_coverage,selective_interval_coverage,always_predict_mae,selective_mae,acceptance_rate,ood_rejection_rate,in_domain_acceptance_rate,far_shift_global_coverage,far_shift_scaled_coverage,mean_global_interval_width,mean_scaled_interval_width,acceptance_threshold,id_half_width,global_half_width,scaled_base_half_width
0,0.48653846153846153,0.725,0.9096153846153846,0.8898305084745762,0.17185889642436072,0.056692102991523954,0.22692307692307692,0.9675,0.875,0.44545454545454544,0.9545454545454546,0.48038742463553397,0.7931532136170465,0.7987098350514178,0.10935159720555548,0.24019371231776698,0.10474142055266411
1,0.49230769230769234,0.6923076923076923,0.9115384615384615,0.8303571428571429,0.16125388168506238,0.05577381637662617,0.2153846153846154,0.975,0.85,0.42272727272727273,0.9863636363636363,0.4009145014108453,0.7471209764070946,0.7914691603248462,0.10764237320188752,0.20045725070542264,0.10339483708354587
2,0.5865384615384616,0.7557692307692307,0.9576923076923077,0.9478260869565217,0.16662376218314454,0.047505858861271004,0.22115384615384615,0.985,0.9083333333333333,0.4863636363636364,0.9954545454545455,0.5051755019399686,0.7940384964969197,0.778064751554612,0.12418861342473342,0.2525877509699843,0.11496573557598119
3,0.5365384615384615,0.6884615384615385,0.9461538461538461,0.9285714285714286,0.1519442404912595,0.05010528798739548,0.18846153846153846,0.995,0.8,0.4090909090909091,0.990909090909091,0.3716952139353664,0.878384444309038,0.7411282994352654,0.11638032880389781,0.1858476069676832,0.10278530470942948
4,0.6019230769230769,0.7480769230769231,0.9384615384615385,0.9719626168224299,0.17022472112219605,0.05123439425839272,0.20576923076923076,0.9825,0.8333333333333334,0.4863636363636364,0.9863636363636363,0.4746300694692749,0.8782158309399274,0.7726869189002166,0.13885945886251272,0.23731503473463744,0.10852442666521338
5,0.5192307692307693,0.7096153846153846,0.9134615384615384,0.88,0.168258649895123,0.05022301474642735,0.19230769230769232,0.9925,0.8083333333333333,0.4818181818181818,0.9863636363636363,0.4118162115222006,0.8267229097166194,0.7664483597455808,0.11168182896869672,0.2059081057611003,0.10402990230227288
6,0.4653846153846154,0.6538461538461539,0.9346153846153846,0.8155339805825242,0.16536155416240347,0.053569989419567615,0.19807692307692307,0.9875,0.8166666666666667,0.36363636363636365,0.9863636363636363,0.36835503045619433,0.8656316631576404,0.760555731033021,0.10371943482732499,0.18417751522809717,0.11719898209650242
7,0.551923076923077,0.6903846153846154,0.9442307692307692,0.8916666666666667,0.16181150625001692,0.05613276605666211,0.23076923076923078,0.95,0.8333333333333334,0.39545454545454545,0.9863636363636363,0.3990906718953444,0.8065591699080965,0.7536211222026791,0.11794307987906738,0.1995453359476722,0.11495071037293958
8,0.5173076923076924,0.6942307692307692,0.9423076923076923,0.9117647058823529,0.1945393521841977,0.04655512952416537,0.19615384615384615,0.9825,0.7916666666666666,0.4409090909090909,0.9818181818181818,0.5317574067188899,0.8743545343598768,0.7901850887539337,0.1205801746470776,0.26587870335944497,0.1101548416904205
9,0.5076923076923077,0.6788461538461539,0.8288461538461539,0.8113207547169812,0.15541128703676518,0.051640147147469624,0.20384615384615384,0.9925,0.8583333333333333,0.42727272727272725,0.9045454545454545,0.3815293480612256,0.6555932511496285,0.7773801787256158,0.10980563129905196,0.1907646740306128,0.08938216227278248
10,0.45576923076923076,0.7115384615384616,0.9288461538461539,0.8303571428571429,0.167862859854022,0.05179918941800982,0.2153846153846154,0.98,0.8666666666666667,0.45,0.9727272727272728,0.4492571308934088,0.7712367406996662,0.8083873388847841,0.09894019421067546,0.2246285654467044,0.10978509779225953
11,0.5326923076923077,0.7673076923076924,0.9769230769230769,0.9537037037037037,0.16681877355212968,0.04448639998310119,0.2076923076923077,0.9925,0.875,0.5272727272727272,0.9954545454545455,0.4960544244630103,0.9018132160822415,0.7844590265933352,0.11382775726586458,0.24802721223150515,0.1170898920232848
12,0.5403846153846154,0.6596153846153846,0.925,0.9252336448598131,0.1722881246861257,0.048069665806802865,0.20576923076923076,0.9775,0.8166666666666667,0.35909090909090907,0.9772727272727273,0.416938244250199,0.8137189333120095,0.7929655222555549,0.127266933286879,0.2084691221250995,0.11141008720111456
13,0.5615384615384615,0.7288461538461538,0.9538461538461539,0.940677966101695,0.1643365892118516,0.04771910735493189,0.22692307692307692,0.99,0.95,0.5,1.0,0.4463624716055772,0.8627341613194301,0.7908668292999661,0.11810368486252587,0.2231812358027886,0.11543405364067791
14,0.45384615384615384,0.6826923076923077,0.9115384615384615,0.8416666666666667,0.17224347655684533,0.052606143327048466,0.23076923076923078,0.9725,0.9083333333333333,0.4090909090909091,0.9863636363636363,0.4228167826330582,0.7925240654966234,0.7723920789677693,0.1019849679602638,0.2114083913165291,0.11434790011861676
15,0.5115384615384615,0.7153846153846154,0.9173076923076923,0.8969072164948454,0.16716686062943506,0.046610952549178006,0.18653846153846154,1.0,0.8083333333333333,0.45454545454545453,0.9727272727272728,0.4349378285762113,0.8282449177030828,0.7776130860912687,0.10890644952002104,0.21746891428810566,0.10322383489086188
16,0.48653846153846153,0.7192307692307692,0.9326923076923077,0.8936170212765957,0.16300735234205072,0.040552346266845764,0.18076923076923077,1.0,0.7833333333333333,0.44545454545454544,0.9863636363636363,0.4463772484011881,0.8153642430964294,0.7413014022609101,0.10478995306365546,0.22318862420059404,0.09669299800326014
17,0.5192307692307693,0.7,0.9307692307692308,0.8608695652173913,0.1729777205221398,0.05206140270023014,0.22115384615384615,0.9725,0.8666666666666667,0.45454545454545453,0.9863636363636363,0.44082764346464476,0.8753098570763084,0.8258083353405602,0.11839478850942642,0.22041382173232238,0.11716019327552112
18,0.5192307692307693,0.7403846153846154,0.9596153846153846,0.8189655172413793,0.16923209657639104,0.05416231479409409,0.2230769230769231,0.9575,0.825,0.4909090909090909,0.9863636363636363,0.4500184235460567,0.9449626706060553,0.792802307697164,0.10756524284432367,0.22500921177302835,0.13015928935274917
19,0.5173076923076924,0.6788461538461539,0.926923076923077,0.8974358974358975,0.16578260402738046,0.051776534029254986,0.225,0.975,0.8916666666666667,0.39090909090909093,0.9727272727272728,0.41247701455366403,0.847509004221977,0.7716280252967583,0.12005535836374881,0.20623850727683202,0.1090596490334439
20,0.5211538461538462,0.6615384615384615,0.9519230769230769,0.9722222222222222,0.18384203105842967,0.04622034143680839,0.2076923076923077,0.9875,0.8583333333333333,0.42272727272727273,0.9818181818181818,0.4402824048921268,0.902703468287813,0.784905688037223,0.13052111047873904,0.2201412024460634,0.11659948222509843
21,0.47307692307692306,0.6346153846153846,0.9346153846153846,0.9130434782608695,0.18824105372572214,0.051816541081632424,0.22115384615384615,0.9775,0.8833333333333333,0.33636363636363636,0.9590909090909091,0.4044467718321969,0.8378810391298462,0.8257228291978095,0.11047859818876549,0.20222338591609845,0.1057677220075311
22,0.5461538461538461,0.7269230769230769,0.95,0.9705882352941176,0.1573190359608491,0.04113559728435631,0.19615384615384615,0.995,0.8333333333333334,0.4727272727272727,0.990909090909091,0.4306066169057743,0.8101015406426121,0.7594028777008179,0.11782555021349145,0.21530330845288714,0.10752682502667675
23,0.4423076923076923,0.6576923076923077,0.9153846153846154,0.8484848484848485,0.1804688214996919,0.05042180320864718,0.19038461538461537,0.9925,0.8,0.37272727272727274,0.9772727272727273,0.39264320746089965,0.8530275617049808,0.7327665587400027,0.10471202732192564,0.19632160373044982,0.10093732511796946
24,0.5115384615384615,0.7096153846153846,0.9461538461538461,0.8962264150943396,0.16744852876370664,0.04443428446634456,0.20384615384615384,0.99,0.85,0.45454545454545453,0.9954545454545455,0.4154586372093825,0.9238130077691088,0.7365974609242794,0.10717013307474987,0.20772931860469124,0.11488727791511272
25,0.573076923076923,0.676923076923077,0.926923076923077,0.9316239316239316,0.15938664765636634,0.05797733745345378,0.225,0.9625,0.85,0.37272727272727274,0.9818181818181818,0.36419474888286896,0.7830145367121819,0.8088657208820221,0.12560202477811322,0.18209737444143448,0.11964151628303103
